Site,Year,Month,Layer,Group,Genus,Variable,Value,Unit,SamplingMethodID,MethodID
Giles,1990,3,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,4,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,9,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,10,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,11,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1990,12,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,1,whole_column,Cladocera,Bosmina,Abundance,0.03,NumberPerLiter,Method026,Method028
Giles,1992,2,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,4,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,9,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,10,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1992,11,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,1,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,2,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,3,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,4,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,9,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1993,11,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,1997,4,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,1997,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,1997,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,2001,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,2001,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,2001,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method024,Method028
Giles,2005,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2005,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2005,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2005,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2006,5,whole_column,Cladocera,Bosmina,Abundance,0.01,NumberPerLiter,Method026,Method028
Giles,2006,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2006,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2006,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2007,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2007,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2007,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2007,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2008,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2008,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2008,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method026,Method028
Giles,2009,4,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2009,5,whole_column,Cladocera,Bosmina,Abundance,0.04,NumberPerLiter,Method023,Method028
Giles,2009,6,whole_column,Cladocera,Bosmina,Abundance,0.03,NumberPerLiter,Method023,Method028
Giles,2009,7,whole_column,Cladocera,Bosmina,Abundance,0.08,NumberPerLiter,Method023,Method028
Giles,2009,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2010,5,whole_column,Cladocera,Bosmina,Abundance,9.37,NumberPerLiter,Method023,Method028
Giles,2010,6,whole_column,Cladocera,Bosmina,Abundance,14.63,NumberPerLiter,Method023,Method028
Giles,2010,7,whole_column,Cladocera,Bosmina,Abundance,2.54,NumberPerLiter,Method023,Method028
Giles,2010,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2010,9,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2011,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2011,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2011,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2011,8,whole_column,Cladocera,Bosmina,Abundance,0.03,NumberPerLiter,Method023,Method028
Giles,2013,4,whole_column,Cladocera,Bosmina,Abundance,0.01,NumberPerLiter,Method023,Method028
Giles,2013,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2013,8,whole_column,Cladocera,Bosmina,Abundance,0.22,NumberPerLiter,Method023,Method028
Giles,2014,6,whole_column,Cladocera,Bosmina,Abundance,0.01,NumberPerLiter,Method023,Method028
Giles,2014,7,whole_column,Cladocera,Bosmina,Abundance,0.03,NumberPerLiter,Method023,Method028
Giles,2014,8,whole_column,Cladocera,Bosmina,Abundance,0.07,NumberPerLiter,Method023,Method028
Giles,2015,5,whole_column,Cladocera,Bosmina,Abundance,0.23,NumberPerLiter,Method023,Method028
Giles,2015,6,whole_column,Cladocera,Bosmina,Abundance,0.35,NumberPerLiter,Method023,Method028
Giles,2015,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2015,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2016,5,whole_column,Cladocera,Bosmina,Abundance,0.01,NumberPerLiter,Method023,Method028
Giles,2016,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2016,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2016,8,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2017,5,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2017,6,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2017,7,whole_column,Cladocera,Bosmina,Abundance,0,NumberPerLiter,Method023,Method028
Giles,2017,8,whole_column,Cladocera,Bosmina,Abundance,0.05,NumberPerLiter,Method023,Method028
Giles,2017,9,whole_column,Cladocera,Bosmina,Abundance,0.55,NumberPerLiter,Method023,Method028
Giles,2017,10,whole_column,Cladocera,Bosmina,Abundance,0.58,NumberPerLiter,Method023,Method028
Giles,2018,5,whole_column,Cladocera,Bosmina,Abundance,0.02,NumberPerLiter,Method023,Method028
Giles,2018,6,whole_column,Cladocera,Bosmina,Abundance,0.06,NumberPerLiter,Method023,Method028
Giles,2018,7,whole_column,Cladocera,Bosmina,Abundance,0.08,NumberPerLiter,Method023,Method028
Giles,2018,8,whole_column,Cladocera,Bosmina,Abundance,0.08,NumberPerLiter,Method023,Method028
Giles,2018,9,whole_column,Cladocera,Bosmina,Abundance,0.01,NumberPerLiter,Method023,Method028
Giles,1990,1,whole_column,Calanoid copepod,unidentified,Abundance,31.63,NumberPerLiter,Method024,Method029
Giles,1990,2,whole_column,Calanoid copepod,unidentified,Abundance,23.31,NumberPerLiter,Method024,Method029
Giles,1990,3,whole_column,Calanoid copepod,unidentified,Abundance,23.82,NumberPerLiter,Method024,Method029
Giles,1990,4,whole_column,Calanoid copepod,unidentified,Abundance,39.54,NumberPerLiter,Method024,Method029
Giles,1990,5,whole_column,Calanoid copepod,unidentified,Abundance,85.92,NumberPerLiter,Method024,Method029
Giles,1990,6,whole_column,Calanoid copepod,unidentified,Abundance,73.19,NumberPerLiter,Method024,Method029
Giles,1990,7,whole_column,Calanoid copepod,unidentified,Abundance,76.43,NumberPerLiter,Method024,Method029
Giles,1990,8,whole_column,Calanoid copepod,unidentified,Abundance,43.18,NumberPerLiter,Method024,Method029
Giles,1990,9,whole_column,Calanoid copepod,unidentified,Abundance,33.09,NumberPerLiter,Method024,Method029
Giles,1990,10,whole_column,Calanoid copepod,unidentified,Abundance,32.41,NumberPerLiter,Method024,Method029
Giles,1990,11,whole_column,Calanoid copepod,unidentified,Abundance,41.57,NumberPerLiter,Method024,Method029
Giles,1990,12,whole_column,Calanoid copepod,unidentified,Abundance,38.47,NumberPerLiter,Method024,Method029
Giles,1991,1,whole_column,Calanoid copepod,unidentified,Abundance,14.32,NumberPerLiter,Method024,Method029
Giles,1991,2,whole_column,Calanoid copepod,unidentified,Abundance,12.64,NumberPerLiter,Method024,Method029
Giles,1991,3,whole_column,Calanoid copepod,unidentified,Abundance,12.42,NumberPerLiter,Method024,Method029
Giles,1991,4,whole_column,Calanoid copepod,unidentified,Abundance,14.56,NumberPerLiter,Method024,Method029
Giles,1991,5,whole_column,Calanoid copepod,unidentified,Abundance,26.84,NumberPerLiter,Method024,Method029
Giles,1991,6,whole_column,Calanoid copepod,unidentified,Abundance,29.41,NumberPerLiter,Method024,Method029
Giles,1991,7,whole_column,Calanoid copepod,unidentified,Abundance,29.19,NumberPerLiter,Method024,Method029
Giles,1991,8,whole_column,Calanoid copepod,unidentified,Abundance,24.07,NumberPerLiter,Method024,Method029
Giles,1991,9,whole_column,Calanoid copepod,unidentified,Abundance,23.31,NumberPerLiter,Method024,Method029
Giles,1991,10,whole_column,Calanoid copepod,unidentified,Abundance,22.55,NumberPerLiter,Method024,Method029
Giles,1991,11,whole_column,Calanoid copepod,unidentified,Abundance,20.53,NumberPerLiter,Method024,Method029
Giles,1991,12,whole_column,Calanoid copepod,unidentified,Abundance,19.05,NumberPerLiter,Method024,Method029
Giles,1992,1,whole_column,Calanoid copepod,unidentified,Abundance,15.24,NumberPerLiter,Method024,Method029
Giles,1992,2,whole_column,Calanoid copepod,unidentified,Abundance,24.26,NumberPerLiter,Method024,Method029
Giles,1992,4,whole_column,Calanoid copepod,unidentified,Abundance,14.28,NumberPerLiter,Method024,Method029
Giles,1992,5,whole_column,Calanoid copepod,unidentified,Abundance,21.41,NumberPerLiter,Method024,Method029
Giles,1992,6,whole_column,Calanoid copepod,unidentified,Abundance,25.57,NumberPerLiter,Method024,Method029
Giles,1992,7,whole_column,Calanoid copepod,unidentified,Abundance,18.56,NumberPerLiter,Method024,Method029
